frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,61.999897,319.99976,1.0681,1.1368679,1.1368679,0.01,1.5002224,1.5002224,2.4161832,-1.2593808,1
0,61.9999,143.99991,1.0,1.1314098,1.1314098,0.01,1.5520613,1.5520611,2.7340207,-1.1964748,1
0,61.999924,155.99988,1.0,1.1083646,1.1083646,0.01,1.5060058,1.5060064,2.43844,-1.2023863,1
0,61.99996,213.99986,1.0,1.1287682,1.1287682,0.01,1.546702,1.5467023,1.366117,-1.1971698,1
0,62.00002,166.00006,1.0,1.026025,1.026025,0.01,1.3536525,1.3536524,2.8042643,-1.2205666,1
0,62.000214,90.0,1.0,1.1715754,1.1715754,0.01,1.6361742,1.6361742,2.8123498,-1.1853739,1
0,62.00025,343.00006,1.0,1.1794416,1.1794416,0.01,1.6532378,1.653238,2.2191179,-1.1830868,1
0,62.000347,134.00002,1.1987,1.2438256,1.2438256,0.01,1.6084726,1.6084721,2.5519886,-1.3445295,1
0,62.999687,32.999893,1.2739334,1.1718802,1.1718802,0.01,1.4092522,1.4092519,2.6509297,-1.441492,1
0,62.999767,78.00016,1.0180435,1.0712365,1.0712365,0.01,1.4191043,1.4191043,2.4817393,-1.2285099,1
0,62.999775,232.99997,1.0,1.1452366,1.1452366,0.01,1.580456,1.5804561,2.8672118,-1.192765,1
0,62.999783,101.999954,1.0,1.1814986,1.1814986,0.01,1.6577328,1.6577328,2.4511323,-1.1824828,1
0,62.99991,276.0002,1.0,1.1422701,1.1422701,0.01,1.5743148,1.5743147,2.3537588,-1.193571,1
0,62.999916,113.000046,1.0,1.0774395,1.0774395,0.01,1.4466164,1.4466168,1.9552337,-1.2097654,1
0,63.000233,66.99981,1.2440948,1.214115,1.214115,0.01,1.5115701,1.51157,2.6927068,-1.3977921,1
0,63.000282,45.99967,1.486824,1.1654278,1.1654278,0.01,1.2729354,1.2729355,3.0061088,-1.6433566,1
0,63.000317,201.00009,1.2258072,1.1576313,1.1576313,0.01,1.4160632,1.4160633,2.6006358,-1.4014484,1
0,63.99976,189.00009,1.0521164,1.1431733,1.1431733,0.01,1.5269246,1.5269246,2.8437142,-1.242489,1
0,64.00016,121.999916,1.0,0.9466897,0.9466897,0.01,1.22293,1.2229301,2.644364,-1.2335254,1
0,64.0003,309.9999,1.2475967,1.218533,1.218533,0.01,1.5178094,1.5178093,2.292526,-1.3992966,1
0,64.00037,57.999924,1.1677704,1.1956965,1.1956965,0.01,1.5337325,1.5337325,2.3778954,-1.3339818,1
0,64.000435,285.9998,1.4402618,1.1835276,1.1835276,0.01,1.3285972,1.3285968,2.7276585,-1.5921581,1
0,64.999954,220.00034,1.2636414,1.2334596,1.2334596,0.01,1.5360353,1.5360351,1.7695545,-1.4080766,1
0,65.00008,298.00012,1.0,1.0549425,1.0549425,0.01,1.4050792,1.4050792,2.655152,-1.2147211,1
0,65.00043,179.00027,1.5410156,1.2188119,1.2188119,0.01,1.3365434,1.3365436,2.5625799,-1.6694615,1
0,68.000145,112.99995,1.0,1.1085805,1.1085805,0.01,1.5064304,1.5064305,2.1829987,-1.2023324,1
